Gene_Name,Imprinting_Category
Atcayos,P
Atf3,P
Atf6,M
Atg2b,P
Atg3,M
Atg4a,P
Atg4c,M
Atg9b,M
Atoh7,P
Atoh8,P
Atp10b,P
Atp10d,M
Atp11c,P
Atp12a,P
Atp13a2,M
Atp1a2,M
Atp1a4,P
Atp23,M
Atp2a1,P
Atp2b3,P
Atp2c1,M
Atp4a,P
Atp5a1,M
Atp6ap1,P
Atp6ap1l,M&P
Atp6ap2,P
Atp6v0b,M
Atp6v0c-ps2,P
Atp6v0c,M
Atp6v1b1,P
Atp6v1c2,M&P
Atp6v1e2,P
Atp6v1fnb,P
Atp6v1g1,P
Atp7a,P
Atp8b1,P
Atp8b3,P
Atp8b4,P
Atp8b5,P
Atpsckmt,P
Atrx,P
Atxn7,P
Aunip,P
Aurka,M&P
Aurkaip1,M
Aurkb,P
Aurkc,P
Avil,M&P
Avl9,P
Avp,M&P
Avpr1a,P
Avpr1b,M&P
Awat2,P
Axdnd1,P
Azin2,M
B130006D01Rik,P
B130024G19Rik,P
B130034C11Rik,P
B230110C06Rik,P
B230110G15Rik,M&P
B230112J18Rik,P
B230119M05Rik,P
B230206H07Rik,P
B230208H11Rik,P
B230209E15Rik,M
B230216N24Rik,P
B230217O12Rik,P
B230311B06Rik,P
B230312C02Rik,P
B230319C09Rik,P
B230323A14Rik,P
B230344G16Rik,M&P
B330016D10Rik,M&P
B3galt4,M
B3galt6,M
B3gnt3,P
B3gnt4,M&P
B3gnt5,P
B3gnt6,P
B3gnt7,M&P
B3gnt8,P
B430010I23Rik,P
B430212C06Rik,P
B430319G15Rik,P
B4galnt1,M
B4galnt2,P
B4galnt3,P
B4galt3,M
B4galt4,P
B630019K06Rik,P
B930018H19Rik,M&P
B930025P03Rik,P
B930059L03Rik,P
BB031773,P
BB218582,M&P
BB557941,M&P
BC002059,P
BC003965,M
BC006965,P
BC016548,P
BC016579,P
BC021767,P
BC023719,M&P
BC024063,P
BC024139,M&P
BC025920,P
BC028528,P
BC029722,M
BC035044,P
BC037032,P
BC037704,P
BC039771,P
BC046251,P
BC048507,P
BC048644,P
BC049352,P
BC049715,M&P
BC049762,P
BC051019,P
BC051142,M&P
BC051537,P
BC052688,P
BC055324,P
BC055402,P
BC064078,P
BC065397,M&P
BC106179,P
BE949265,M&P
Baalc,M&P
Baat,P
Bace1,P
Bace2,P
Bach2os,P
Bag3,P
Bag6,M
Baiap2l1,P
Baiap2l2,M&P
Baiap3,M
Bak1,M
Bambi-ps1,P
Bank1,P
Bard1,P
Barhl1,P
Barhl2,P
Barx2,M&P
Batf2,P
Batf3,P
Batf,P
Baz1a,P
Bbc3,P
Bbox1,P
Bbs2,M&P
Bcam,P
Bcap31,P
Bcas1os2,P
Bcas3os1,P
Bche,M
Bcl11b,P
Bcl2a1b,P
Bcl2a1d,M&P
Bcl2l10,P
Bcl2l12,P
Bcl2l15,M&P
Bcl2l2,M
Bcl3,P
Bcl6b,P
Bcl9l,P
Bclaf3,P
Bco1,P
Bco2,P
Bcor,P
Bcorl1,P
Bdh2,P
Bdkrb1,P
Bdkrb2,P
Bean1,P
Bend5,P
Bend7,P
Best1,P
Bex1,P
Bex2,P
Bex3,P
Bex4,P
Bfsp1,P
Bfsp2,P
Bglap,P
Bgn,P
Bhlha15,P
Bhlhb9,P
Bhlhe23,P
Bhmg1,P
Bhmt2,P
Bhmt,P
Bicral,M
Bin3,P
Birc3,P
Birc5,P
Birc6,M&P
Birc7,P
Blnk,M
Bloc1s2,M
Bloc1s3,P
Bloc1s6os,P
Bmf,M&P
Bmp15,P
Bmp1,P
Bmp2,P
Bmp4,P
Bmp5,M&P
Bmp8a,P
Bmp8b,P
Bmx,P
Bnc2,P
Bnip5,M&P
Bnipl,P
Bola1,P
Boll,P
Borcs5,P
Bpifa1,P
Bpifa2,P
Bpifb1,P
Bpifb5,P
Bpifc,P
Bpnt1,P
Brca1,P
Brca2,P
Brcc3,P
Brd7,M
Brd8dc,P
Bri3,P
Bricd5,P
Brinp1,P
Brip1,P
Brix1,M
Brs3,P
Brwd3,P
Bspry,P
Bst1,P
Bsx,P
Btbd16,P
Btbd19,P
Btc,P
Btk,P
Btla,P
Btn1a1,P
Btn2a2,P
Btnl10,P
Btnl2,P
Btnl9,P
Bub1,P
Bub1b,P
Bvht,M&P
Bysl,M
C030005K06Rik,M&P
C030013C21Rik,P
C030013G03Rik,P
C030016D13Rik,P
C030023E24Rik,P
C030034I22Rik,M
C030034L19Rik,P
C030037D09Rik,M
C130021I20Rik,P
C130023O10Rik,P
C130026I21Rik,P
C130036L24Rik,M&P
C130046K22Rik,P
C130050O18Rik,P
C130060C02Rik,P
C130080G10Rik,M&P
C1galt1c1,P
C1ql4,P
C1qtnf12,M
C1qtnf2,M&P
C1qtnf3,P
C1qtnf6,M&P
C1qtnf7,P
C1qtnf9,P
C1ra,P
C1rb,P
C1rl,P
C1s1,P
C1s2,P
C230014O12Rik,M&P
C230035I16Rik,P
C230072F16Rik,P
C2,P
C2cd4a,P
C2cd4b,P
C2cd4d,P
C330007P06Rik,P
C330008A17Rik,P
C330013E15Rik,P
C330018A13Rik,P
C330020E22Rik,P
C330022C24Rik,P
C330024D21Rik,P
C330026H20Rik,P
C3,P
C3ar1,P
C430002N11Rik,P
C430042M11Rik,P
C430049B03Rik,P
C4a,M&P
C4bp-ps1,P
C4bp,P
C530005A16Rik,P
C530044C16Rik,M&P
C5ar1,P
C5ar2,P
C630004L07Rik,P
C630028M04Rik,P
C630031E19Rik,M&P
C630043F03Rik,M
C730002L08Rik,P
C7,M&P
C8b,P
C8g,M&P
C920006O11Rik,M&P
C920009B18Rik,P
C920021L13Rik,P
C9orf72,M
CK137956,P
Cables1,P
Cabp4,P
Cabp5,P
Cabyr,P
Cacna1a,M
Cacna1f,P
Cacna1h,M
Cacna1s,P
Cacna2d2,M
Cacna2d4,P
Cacng1,P
Cacng5,M
Cacng6,M&P
Cadm1,M
Cadm3,M
Calb2,P
Calca,P
Calcb,P
Calcoco2,P
Calcr,P
Calcrl,M
Calhm6,P
Calr3,P
Calr4,P
Calr,M
Camk2d,M
Camsap3,P
Capg,P
Capn11,P
Capn12,P
Capn15,M
Capn6,P
Capn8,P
