Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Begain,Imprinted - Isoform Dependent,Paternal,WT_M1,5300,WT Male,12.372048825272772
Begain,Imprinted - Isoform Dependent,Paternal,WT_M2,8354,WT Male,13.02842411294855
Begain,Imprinted - Isoform Dependent,Paternal,WT_M3,4297,WT Male,12.069449767427784
Begain,Imprinted - Isoform Dependent,Paternal,WT_F1,4705,WT Female,12.200285605224298
Begain,Imprinted - Isoform Dependent,Paternal,WT_F2,5065,WT Female,12.306631361712501
Begain,Imprinted - Isoform Dependent,Paternal,WT_F3,5854,WT Female,12.515453455388577
Begain,Imprinted - Isoform Dependent,Paternal,HT_F1,8621,HT Female,13.073806847178492
Begain,Imprinted - Isoform Dependent,Paternal,HT_F2,5325,HT Female,12.378836713210614
Begain,Imprinted - Isoform Dependent,Paternal,HT_F3,4258,HT Female,12.056299014550337
Begain,Imprinted - Isoform Dependent,Paternal,KO_M1,5439,KO Male,12.409390936137703
Begain,Imprinted - Isoform Dependent,Paternal,KO_M2,4986,KO Male,12.283956487665113
Begain,Imprinted - Isoform Dependent,Paternal,KO_M3,5379,KO Male,12.393390457443987
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M1,5067,WT Male,12.30720080914081
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M2,8501,WT Male,13.053586543639176
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M3,3930,WT Male,11.940680648424093
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F1,5920,WT Female,12.531625138422624
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F2,5196,WT Female,12.343463343667903
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F3,6825,WT Female,12.736824699098866
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F1,11086,HT Female,13.43658142308045
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F2,6003,HT Female,12.55170826162069
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F3,4334,HT Female,12.081816278109198
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M1,3667,KO Male,11.840777923595054
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M2,5660,KO Male,12.466841208321602
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M3,5450,KO Male,12.412305204955272
Calcr,Imprinted,Maternal,WT_M1,13,WT Male,3.807354922057604
Calcr,Imprinted,Maternal,WT_M2,9,WT Male,3.321928094887362
Calcr,Imprinted,Maternal,WT_M3,0,WT Male,0
Calcr,Imprinted,Maternal,WT_F1,18,WT Female,4.247927513443585
Calcr,Imprinted,Maternal,WT_F2,3,WT Female,2
Calcr,Imprinted,Maternal,WT_F3,37,WT Female,5.247927513443585
Calcr,Imprinted,Maternal,HT_F1,469,HT Female,8.876516946565
Calcr,Imprinted,Maternal,HT_F2,1,HT Female,1
Calcr,Imprinted,Maternal,HT_F3,1,HT Female,1
Calcr,Imprinted,Maternal,KO_M1,47,KO Male,5.584962500721156
Calcr,Imprinted,Maternal,KO_M2,14,KO Male,3.9068905956085187
Calcr,Imprinted,Maternal,KO_M3,3,KO Male,2
Ccdc40,Imprinted,Paternal,WT_M1,169,WT Male,7.409390936137702
Ccdc40,Imprinted,Paternal,WT_M2,264,WT Male,8.049848549450562
Ccdc40,Imprinted,Paternal,WT_M3,108,WT Male,6.768184324776926
Ccdc40,Imprinted,Paternal,WT_F1,376,WT Female,8.558420713268664
Ccdc40,Imprinted,Paternal,WT_F2,134,WT Female,7.076815597050831
Ccdc40,Imprinted,Paternal,WT_F3,192,WT Female,7.592457037268081
Ccdc40,Imprinted,Paternal,HT_F1,467,HT Female,8.870364719583405
Ccdc40,Imprinted,Paternal,HT_F2,249,HT Female,7.965784284662087
Ccdc40,Imprinted,Paternal,HT_F3,85,HT Female,6.426264754702098
Ccdc40,Imprinted,Paternal,KO_M1,149,KO Male,7.22881869049588
Ccdc40,Imprinted,Paternal,KO_M2,131,KO Male,7.044394119358453
Ccdc40,Imprinted,Paternal,KO_M3,91,KO Male,6.523561956057013
Cd81,Imprinted,Maternal,WT_M1,13979,WT Male,13.7710767402628
Cd81,Imprinted,Maternal,WT_M2,22134,WT Male,14.434041752985229
Cd81,Imprinted,Maternal,WT_M3,10733,WT Male,13.389900172773064
Cd81,Imprinted,Maternal,WT_F1,16376,WT Female,13.999383482467573
Cd81,Imprinted,Maternal,WT_F2,13536,WT Female,13.724620431263602
Cd81,Imprinted,Maternal,WT_F3,17359,WT Female,14.083479327331842
Cd81,Imprinted,Maternal,HT_F1,23826,HT Female,14.540309696265187
Cd81,Imprinted,Maternal,HT_F2,14503,HT Female,13.824163209744158
Cd81,Imprinted,Maternal,HT_F3,13429,HT Female,13.713171684314805
Cd81,Imprinted,Maternal,KO_M1,10578,KO Male,13.368915639966843
Cd81,Imprinted,Maternal,KO_M2,14777,KO Male,13.851163413220117
Cd81,Imprinted,Maternal,KO_M3,14925,KO Male,13.865539970785697
Cdh15,Imprinted,Paternal,WT_M1,46,WT Male,5.554588851677638
Cdh15,Imprinted,Paternal,WT_M2,101,WT Male,6.672425341971495
Cdh15,Imprinted,Paternal,WT_M3,41,WT Male,5.392317422778761
Cdh15,Imprinted,Paternal,WT_F1,70,WT Female,6.149747119504682
Cdh15,Imprinted,Paternal,WT_F2,61,WT Female,5.954196310386875
Cdh15,Imprinted,Paternal,WT_F3,95,WT Female,6.584962500721156
Cdh15,Imprinted,Paternal,HT_F1,234,HT Female,7.876516946564999
Cdh15,Imprinted,Paternal,HT_F2,31,HT Female,5
Cdh15,Imprinted,Paternal,HT_F3,85,HT Female,6.426264754702098
Cdh15,Imprinted,Paternal,KO_M1,32,KO Male,5.044394119358453
