Gene,Status,Expressed_Allele,Sample,Group,Maternal,Paternal,Total_Count,AER,Observed_Expression,log2_total_count
Asb4,Imprinted,Maternal,HT_F1,HT Female,72,0,72,1,Maternal,6.189824558880018
Asb4,Imprinted,Maternal,HT_F2,HT Female,11,0,11,1,Maternal,3.584962500721156
Asb4,Imprinted,Maternal,HT_F3,HT Female,14,0,14,1,Maternal,3.9068905956085187
Asb4,Imprinted,Maternal,KO_M1,KO Male,7,0,7,1,Maternal,3
Asb4,Imprinted,Maternal,KO_M2,KO Male,22,0,22,1,Maternal,4.523561956057013
Asb4,Imprinted,Maternal,KO_M3,KO Male,8,0,8,1,Maternal,3.169925001442312
Ascl2,Imprinted,Maternal,WT_M1,WT Male,3,0,3,1,Maternal,2
Ascl2,Imprinted,Maternal,WT_M2,WT Male,10,0,10,1,Maternal,3.4594316186372973
Ascl2,Imprinted,Maternal,WT_M3,WT Male,1,0,1,1,Maternal,1
Ascl2,Imprinted,Maternal,WT_F1,WT Female,5,0,5,1,Maternal,2.584962500721156
Ascl2,Imprinted,Maternal,WT_F2,WT Female,5,0,5,1,Maternal,2.584962500721156
Ascl2,Imprinted,Maternal,WT_F3,WT Female,9,0,9,1,Maternal,3.321928094887362
Ascl2,Imprinted,Maternal,HT_F1,HT Female,13,0,13,1,Maternal,3.807354922057604
Ascl2,Imprinted,Maternal,HT_F2,HT Female,3,0,3,1,Maternal,2
Ascl2,Imprinted,Maternal,HT_F3,HT Female,7,0,7,1,Maternal,3
Ascl2,Imprinted,Maternal,KO_M1,KO Male,5,0,5,1,Maternal,2.584962500721156
Ascl2,Imprinted,Maternal,KO_M2,KO Male,1,0,1,1,Maternal,1
Ascl2,Imprinted,Maternal,KO_M3,KO Male,9,0,9,1,Maternal,3.321928094887362
Axl,Imprinted,Maternal,WT_M1,WT Male,1774,1459,3233,0.09743272502319827,Not Imprinted,11.659103963473662
Axl,Imprinted,Maternal,WT_M2,WT Male,2430,2350,4780,0.016736401673640166,Not Imprinted,12.223096690347695
Axl,Imprinted,Maternal,WT_M3,WT Male,1202,898,2100,0.14476190476190476,Not Imprinted,11.036860446673046
Axl,Imprinted,Maternal,WT_F1,WT Female,1618,1224,2842,0.1386347642505278,Not Imprinted,11.473198383677527
Axl,Imprinted,Maternal,WT_F2,WT Female,1590,1150,2740,0.16058394160583941,Not Imprinted,11.420486612825774
Axl,Imprinted,Maternal,WT_F3,WT Female,1687,1592,3279,0.028972247636474536,Not Imprinted,11.679480099505446
Axl,Imprinted,Maternal,HT_F1,HT Female,2579,2407,4986,0.03449659045326915,Not Imprinted,12.283956487665113
Axl,Imprinted,Maternal,HT_F2,HT Female,1692,1444,3136,0.07908163265306123,Not Imprinted,11.615169813843602
Axl,Imprinted,Maternal,HT_F3,HT Female,1702,1398,3100,0.09806451612903226,Not Imprinted,11.598517810612622
Axl,Imprinted,Maternal,KO_M1,KO Male,1483,1254,2737,0.08366824990865912,Not Imprinted,11.4189067312579
Axl,Imprinted,Maternal,KO_M2,KO Male,1682,1575,3257,0.032852318084126496,Not Imprinted,11.669770888525518
Axl,Imprinted,Maternal,KO_M3,KO Male,1824,1568,3392,0.07547169811320754,Not Imprinted,11.728345714710978
Begain,Imprinted - Isoform Dependent,Paternal,WT_M1,WT Male,2335,2965,5300,-0.11886792452830189,Not Imprinted,12.372048825272772
Begain,Imprinted - Isoform Dependent,Paternal,WT_M2,WT Male,1939,6415,8354,-0.5357912377304286,Not Imprinted,13.02842411294855
Begain,Imprinted - Isoform Dependent,Paternal,WT_M3,WT Male,1797,2500,4297,-0.1636025133814289,Not Imprinted,12.069449767427784
Begain,Imprinted - Isoform Dependent,Paternal,WT_F1,WT Female,959,3746,4705,-0.5923485653560042,Not Imprinted,12.200285605224298
Begain,Imprinted - Isoform Dependent,Paternal,WT_F2,WT Female,2284,2781,5065,-0.09812438302073051,Not Imprinted,12.306631361712501
Begain,Imprinted - Isoform Dependent,Paternal,WT_F3,WT Female,1243,4611,5854,-0.5753331055688418,Not Imprinted,12.515453455388577
Begain,Imprinted - Isoform Dependent,Paternal,HT_F1,HT Female,3035,5586,8621,-0.29590534740749336,Not Imprinted,13.073806847178492
Begain,Imprinted - Isoform Dependent,Paternal,HT_F2,HT Female,2028,3297,5325,-0.23830985915492958,Not Imprinted,12.378836713210614
Begain,Imprinted - Isoform Dependent,Paternal,HT_F3,HT Female,654,3604,4258,-0.6928135274776891,Not Imprinted,12.056299014550337
Begain,Imprinted - Isoform Dependent,Paternal,KO_M1,KO Male,1141,4298,5439,-0.5804375804375804,Not Imprinted,12.409390936137703
Begain,Imprinted - Isoform Dependent,Paternal,KO_M2,KO Male,1098,3888,4986,-0.5595667870036101,Not Imprinted,12.283956487665113
Begain,Imprinted - Isoform Dependent,Paternal,KO_M3,KO Male,820,4559,5379,-0.6951106153560141,Not Imprinted,12.393390457443987
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M1,WT Male,2726,2341,5067,0.07598184329978291,Not Imprinted,12.30720080914081
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M2,WT Male,5070,3431,8501,0.19280084695918126,Not Imprinted,13.053586543639176
Blcap,Imprinted - Isoform Dependent,Maternal,WT_M3,WT Male,2440,1490,3930,0.24173027989821882,Not Imprinted,11.940680648424093
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F1,WT Female,3595,2325,5920,0.21452702702702703,Not Imprinted,12.531625138422624
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F2,WT Female,3357,1839,5196,0.2921478060046189,Not Imprinted,12.343463343667903
Blcap,Imprinted - Isoform Dependent,Maternal,WT_F3,WT Female,4480,2345,6825,0.3128205128205128,Not Imprinted,12.736824699098866
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F1,HT Female,7593,3493,11086,0.36983582897348005,Not Imprinted,13.43658142308045
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F2,HT Female,3918,2085,6003,0.3053473263368316,Not Imprinted,12.55170826162069
Blcap,Imprinted - Isoform Dependent,Maternal,HT_F3,HT Female,2389,1945,4334,0.10244577757268113,Not Imprinted,12.081816278109198
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M1,KO Male,2474,1193,3667,0.34933187892009815,Not Imprinted,11.840777923595054
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M2,KO Male,3671,1989,5660,0.29717314487632507,Not Imprinted,12.466841208321602
Blcap,Imprinted - Isoform Dependent,Maternal,KO_M3,KO Male,3372,2078,5450,0.23743119266055046,Not Imprinted,12.412305204955272
Calcr,Imprinted,Maternal,WT_M1,WT Male,13,0,13,1,Maternal,3.807354922057604
Calcr,Imprinted,Maternal,WT_M2,WT Male,9,0,9,1,Maternal,3.321928094887362
Calcr,Imprinted,Maternal,WT_M3,WT Male,0,0,0,NA,No Expression,0
Calcr,Imprinted,Maternal,WT_F1,WT Female,18,0,18,1,Maternal,4.247927513443585
Calcr,Imprinted,Maternal,WT_F2,WT Female,3,0,3,1,Maternal,2
