baseMean,log2FoldChange,lfcSE,pvalue,padj,Gene_Name
316.1384841091579,0.001768459952965155,0.028769216203760797,0.4085101963727913,1,0610009B22Rik_129
346.9377480440456,-0.004690325910612006,0.04389222885757702,0.14071190164520975,1,0610009B22Rik_JF1
34.19489883631952,-0.003772464536910798,0.052988120771901646,0.4066899064017449,1,0610009E02Rik_129
33.37281390919732,-0.010997307135813964,0.08943267463879455,0.15302494454199447,1,0610009E02Rik_JF1
71.35607320145463,-0.02544809543873369,0.13452499172089671,0.05128125823158235,0.8675486547514633,0610009L18Rik_129
60.98911593883361,0.013715196495845475,0.09772351237493854,0.10886397699791378,1,0610009L18Rik_JF1
2006.507083153469,1.0133310572163478e-4,0.01206135635524835,0.9057391769550656,1,0610010F05Rik_129
2050.8509441833653,5.025659700941428e-4,0.012628893536720618,0.531002490403103,1,0610010F05Rik_JF1
288.6121311094339,2.1833207911241563e-4,0.025995363355392157,0.9226565133730267,1,0610010K14Rik_129
294.7156535444948,-0.001184682869880246,0.02787938829939136,0.599708561994084,1,0610010K14Rik_JF1
690.9942104741443,-1.9183869654992394e-4,0.015629323360815538,0.8711916571699828,1,0610012G03Rik_129
423.55973690869996,-8.26061158218067e-4,0.019605282229146717,0.561689001964083,1,0610012G03Rik_JF1
588.1573152305841,0.003414903930781157,0.03811522848694934,0.21358823107917366,1,0610030E20Rik_129
620.1391506355575,-0.001570586180587038,0.020812264095726368,0.21599017849528426,1,0610030E20Rik_JF1
28.095104467825816,0.0030225976903882996,0.0653505947582899,0.6195984746958486,1,0610040B10Rik_129
3.2267663638219863,0.003166334202392321,0.17905539992725625,0.8269615179803556,1,0610040B10Rik_JF1
76.71372737738241,-0.0021831392781267722,0.046640741545908186,0.6038007724857956,1,0610040J01Rik_129
135.71668031288917,0.002182289421539066,0.03214774409770589,0.3637269257946969,1,0610040J01Rik_JF1
65.96776061279257,1.7456215850891767e-4,0.044125988153261124,0.9667997961256345,1,0610043K17Rik_129
19.703705073946264,-0.004666427028555685,0.08935251015811571,0.5626935493714458,1,0610043K17Rik_JF1
70.59886043181714,0.0034556938200046134,0.07668666442288513,0.6264634303743866,1,1110002E22Rik_129
227.01540650616707,-0.005143836783553367,0.10662116969193969,0.578122399369128,1,1110002E22Rik_JF1
15.58128902186409,-0.013402347232047033,0.14589838236755018,0.2609165232773976,1,1110002J07Rik_129
4.581369799798414,0.1105078051918399,0.9417429580304741,0.1605547114959968,1,1110002J07Rik_JF1
367.4590821559364,-9.030179707361118e-4,0.021914590809602136,0.5859936132388381,1,1110002L01Rik_129
403.07862830909636,0.0011178462776939443,0.02313240974368608,0.5148718577315708,1,1110002L01Rik_JF1
1504.3428749860775,0.002029571745633229,0.0357418898656838,0.4877047249864822,1,1110004F10Rik_129
1520.646823548943,-8.873570927170793e-4,0.021010308362064557,0.5694556029536472,1,1110004F10Rik_JF1
18.6680299253405,-0.0070578759292146565,0.09025349177805261,0.37858063193074654,1,1110006O24Rik_129
19.297777719017557,0.003452780605015157,0.17997624366480458,0.8122840354242424,1,1110006O24Rik_JF1
517.6069408830359,0.00883074351706003,0.1849103970115728,0.538703875667869,1,1110008P14Rik_129
