Gene,Status,Expressed_Allele,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Ndn,Imprinted,Paternal,8497,16676,7159,10594,9156,12834,21898,10781,8674,9216,11767,11749
Nlrp2,Imprinted,Maternal,0,0,0,0,0,0,0,0,0,0,0,0
Nnat,Imprinted,Paternal,10935,20717,11182,16268,15737,18058,26823,18805,8449,9786,16606,17335
Pde10a,Imprinted,Maternal,7915,11863,5042,6539,5691,7659,11736,6694,8640,4196,7217,7393
Peg10,Imprinted,Paternal,1393,3507,775,2904,960,3504,12469,1426,1098,2504,5937,3343
Peg12,Imprinted,Paternal,12,23,5,12,15,13,29,17,12,22,24,16
Peg13,Imprinted,Paternal,13338,21316,9514,13896,11451,15510,22335,13152,13515,9790,13565,14866
Peg3,Imprinted,Paternal,22725,38090,16543,25672,22475,27495,51013,21281,21810,16122,25697,23396
Peg3os,Imprinted,Paternal,12,16,2,4,8,1,17,12,9,4,8,5
Phlda2,Imprinted,Maternal,0,0,0,1,0,0,0,0,0,4,0,0
Plagl1,Imprinted,Paternal,1667,8166,4203,6433,4936,6691,9979,3518,907,3599,7712,5313
Platr20,Imprinted,Paternal,0,0,0,0,0,0,1,0,0,0,0,0
Pon2,Imprinted,Maternal,1796,2543,1146,1904,1299,1931,2555,1707,1460,931,1357,1477
Pon3,Imprinted,Maternal,922,1084,660,1491,190,1145,1138,383,199,323,147,164
Ppp1r9a,Imprinted,Maternal,28294,43653,17489,28371,24627,32050,43990,27762,30821,18161,26930,29945
Prkn,Imprinted,Maternal,432,1151,499,498,444,650,938,608,460,331,576,771
Qpct,Imprinted,Maternal,687,1282,610,813,810,883,1486,592,567,509,919,754
Rasgrf1,Imprinted,Paternal,40836,66541,30564,38099,35936,45493,61175,38823,41263,23718,47536,45116
Rian,Imprinted,Maternal,24499,29006,21563,19698,24905,23601,59230,33870,16970,12269,22893,23673
Rtl1,Imprinted,Paternal,13,22,11,15,11,27,242,14,4,56,20,9
Sall1,Imprinted,Paternal,1782,2365,1223,1827,1700,1869,2815,1644,1533,828,1608,1565
Sfmbt2,Imprinted,Paternal,678,852,690,723,513,994,1462,414,671,543,731,799
