Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
Dmd,5599,8273,10943,10944,19396,12962,12241,12018,19478,10856,10888,13010
Dmgdh,46,47,11,136,91,26,12,65,134,20,9,103
Dmkn,27,22,42,87,99,50,28,52,48,20,19,50
Dmp1,124,153,268,245,357,272,282,179,313,351,215,277
Dmpk,584,774,560,1138,1430,586,490,711,770,332,439,977
Dmrt1,0,0,0,0,1,1,0,0,0,0,0,1
Dmrt1i,0,0,0,0,0,0,0,0,0,0,0,0
Dmrt2,18,10,10,20,80,54,14,59,95,12,44,41
Dmrt3,80,80,44,157,167,55,42,85,141,23,32,133
Dmrta1,5,10,21,16,38,11,14,16,33,19,15,23
Dmrta2,142,96,77,220,252,118,135,187,237,76,131,142
Dmrtb1,9,4,9,14,47,5,17,17,17,35,8,16
Dmrtc1a,148,148,230,167,444,234,240,210,389,189,180,272
Dmrtc1b,0,0,0,0,0,0,0,0,0,0,0,0
Dmrtc1c1,0,0,0,0,0,0,0,0,0,0,0,0
Dmrtc1c2,0,0,0,0,0,0,0,0,0,0,0,0
Dmrtc2,0,0,0,0,3,0,1,0,0,0,0,0
Dmtf1,1304,2271,3210,3526,6334,3554,3219,3363,5160,3611,3055,3717
Dmtn,13951,10777,14744,15107,26893,15956,15569,16795,23281,16824,12876,16188
Dmwd,4414,4964,7053,7221,11506,6691,6598,6333,10703,6360,5741,7612
Dmxl1,6580,10469,14361,15662,23510,14003,14313,15789,23030,14704,14535,18126
Dmxl2,24578,34056,48507,49598,71794,38078,47226,50770,77960,52638,45188,52960
Dna2,29,43,54,56,116,35,47,43,56,27,30,66
Dnaaf2,327,211,275,384,583,297,367,390,494,307,270,356
Dnaaf3,130,124,37,286,299,96,38,148,155,57,54,175
Dnaaf4,103,121,132,249,321,195,201,198,324,141,188,227
Dnaaf5,583,493,535,863,1056,562,466,648,782,425,497,705
Dnaaf6,0,0,0,0,0,0,0,0,0,0,0,0
Dnaaf6b,8,3,6,36,23,26,6,27,26,11,6,17
Dnah1,971,360,2321,1006,3387,1457,1814,534,989,1155,525,838
Dnah10,267,198,150,679,676,304,120,341,443,81,243,359
Dnah11,346,352,199,1251,1009,327,168,676,744,123,268,709
Dnah12,256,229,166,745,847,262,186,414,512,105,322,501
Dnah14,148,67,160,131,255,173,186,158,185,93,73,220
Dnah17,9,6,16,4,63,12,3,13,12,2,6,7
Dnah2,451,431,455,1131,1239,500,361,601,874,256,422,817
Dnah3,176,114,115,518,521,224,99,212,289,49,190,260
Dnah5,830,651,981,1625,2433,843,713,1051,1523,907,904,1213
Dnah6,1105,1479,855,3313,3839,5668,1812,2639,3806,513,1752,3367
Dnah7a,146,78,146,300,652,250,149,142,233,86,123,213
Dnah7b,252,325,285,805,1040,307,218,509,612,268,298,665
Dnah7c,46,79,52,119,193,78,65,94,147,35,58,112
Dnah8,97,165,145,294,375,204,182,366,484,145,226,178
Dnah9,1808,2074,1940,3345,3879,2598,2141,3370,4311,2240,2359,3560
Dnaic1,147,132,122,267,369,157,122,158,206,115,99,224
Dnaic2,163,104,59,378,439,165,84,230,321,59,108,261
Dnaja1,6366,7989,9863,11391,15925,10890,10974,11008,13620,10233,9790,11972
Dnaja2,4840,5734,7623,8603,11909,7711,7382,7889,11835,7906,7150,8551
Dnaja3,2785,2760,3641,4331,6036,3631,4234,3806,5714,3680,3414,4245
Dnaja4,2138,2398,2781,3631,4744,2843,3314,3682,4792,3304,3060,3369
Dnajb1,1526,1995,2551,2662,4796,2960,2584,2599,3368,1985,2277,2835
Dnajb11,1045,1270,1561,2317,3266,1849,1844,1938,2595,1725,1580,2156
Dnajb12,2185,2408,3296,3674,5124,3116,3329,3492,5740,3199,2946,3862
Dnajb13,38,37,11,124,114,40,17,60,109,16,16,73
Dnajb14,1823,2080,2772,3004,4342,2752,2917,3108,4502,2897,2622,3483
Dnajb2,2253,1762,2425,3329,5536,2772,2477,2996,3497,2275,2501,2973
Dnajb3,47,26,51,68,129,55,76,52,79,68,44,42
Dnajb4,1551,1800,2747,2908,4529,2710,2898,2852,3517,2665,2463,3170
Dnajb5,4961,4592,5441,6392,9690,5886,6100,7711,8133,6693,6417,6372
Dnajb6,2631,4174,5250,6400,8370,5210,5684,5886,8233,5858,4815,6161
Dnajb7,0,0,1,1,3,4,0,1,0,2,0,1
Dnajb8,0,0,0,0,0,0,0,0,0,0,0,0
Dnajb9,1246,2161,2945,3536,5183,3039,3624,3574,4690,3405,2874,3908
Dnajc1,1289,1591,2036,2359,3321,2086,2028,2532,3045,2399,1971,2508
Dnajc10,4889,5131,7279,8078,12903,6478,7686,7314,11331,6494,6846,9140
Dnajc11,1874,2130,2719,2894,4755,2573,2799,2674,4177,2463,2463,3102
Dnajc12,410,350,474,576,888,464,487,454,804,504,473,499
Dnajc13,4401,5962,7374,7791,13927,8150,8184,8626,13305,7901,7285,9674
Dnajc14,2929,3135,4047,4756,6951,4308,4347,4549,6944,4368,3637,4771
Dnajc15,475,837,904,1328,2037,1000,1016,1205,2100,1152,1012,1391
Dnajc16,3512,3078,4256,4726,7589,4306,4417,4643,7473,4265,4102,4911
Dnajc17,221,159,230,277,512,307,296,231,348,240,230,309
Dnajc18,4535,6100,8697,9455,14293,7299,9226,7601,13941,9118,7583,8772
Dnajc19,329,429,619,648,953,596,630,608,892,594,551,760
Dnajc2,871,1157,1473,1599,2524,1698,1707,1613,2424,1450,1519,1951
Dnajc21,740,811,958,1161,1644,1218,1075,1074,1575,871,1155,1333
Dnajc22,0,1,2,5,1,1,2,2,1,0,0,1
Dnajc24,215,222,288,381,491,284,325,342,498,295,262,378
Dnajc25,163,225,216,259,420,197,194,287,365,218,215,313
Dnajc27,7194,7158,10767,9545,17065,9433,11368,9525,15942,9733,9030,11568
Dnajc28,368,445,605,566,1050,555,587,612,794,541,519,623
Dnajc3,2601,3746,4003,6875,7923,4601,4395,5947,7521,4438,4524,5785
Dnajc4,299,322,374,503,697,395,339,496,671,398,438,579
Dnajc5,15523,18568,25886,25679,41866,23394,26362,26025,40145,28113,22428,27994
Dnajc5b,0,0,0,3,4,2,1,2,6,0,3,4
Dnajc5g,0,0,0,0,0,0,0,0,0,0,0,0
Dnajc6,19760,26687,39055,37806,57833,33682,39520,37089,57119,38782,35136,41629
Dnajc7,4679,4918,6444,6975,10729,5988,7198,6961,9294,6154,6004,7816
Dnajc8,1468,1766,2365,2744,4293,2475,2509,2641,3888,2381,2022,2834
Dnajc9,616,712,866,1122,1794,1117,1188,1206,1637,1148,975,1266
Dnal1,6404,7161,10015,9860,17881,11310,10901,10316,16949,10308,9583,12725
Dnal4,1704,1193,1467,1711,3076,1796,1735,1677,2399,1522,1441,1925
Dnali1,167,151,90,477,482,251,99,257,336,67,134,276
Dnase1,5,1,0,7,8,3,2,7,6,5,2,4
Dnase1l1,22,39,48,63,105,60,49,72,95,40,35,95
Dnase1l2,83,82,75,61,275,121,84,80,68,32,134,103
Dnase1l3,1,3,5,9,6,1,6,2,4,2,5,4
Dnase2a,168,127,155,238,265,152,134,172,321,138,132,174
Dnase2b,0,2,0,2,2,0,0,0,1,2,0,0
Dnd1,61,27,51,32,97,39,42,35,36,22,31,60
Dner,6578,6229,9388,9510,20720,9235,10022,10712,15992,10375,8148,11485
Dnhd1,341,396,552,558,953,421,472,444,681,448,449,555
Dnlz,1185,1130,1376,1712,2437,1537,1367,1621,2558,1461,1466,1646
Dnm1,48598,55807,69578,74782,95753,58748,70848,73331,105532,74739,66106,74947
Dnm1l,9448,16201,22287,22262,36071,21092,22671,23587,35731,23367,20323,25788
Dnm2,1602,2108,2824,3246,4546,2584,2558,2812,4014,2453,2465,3287
Dnm3,6477,7880,12554,11754,23988,10891,11201,10137,18217,9807,11161,14047
Dnm3os,7,3,7,12,8,9,2,7,13,1,3,17
Dnmbp,912,822,1041,1372,2489,1075,1169,1138,1832,1073,930,1272
Dnmt1,2354,2360,3461,3725,6909,3843,3447,3329,5679,2905,3183,4200
Dnmt3a,4526,3905,5357,5845,9685,5268,5410,5570,7385,5058,4719,6583
Dnmt3aos,0,0,0,0,0,0,0,0,0,0,0,0
Dnmt3b,41,28,59,71,89,45,62,65,75,47,58,43
Dnmt3l,24,10,12,34,31,11,27,24,71,25,18,18
Dnpep,987,888,1156,1365,2223,1205,1182,1126,1966,1101,1038,1485
Dnph1,114,55,82,97,162,66,83,85,108,69,54,89
Dntt,6,6,10,8,9,14,12,2,9,8,16,5
Dnttip1,652,798,940,1119,1706,945,1056,986,1476,910,950,1237
Dnttip2,903,1119,1397,1702,2441,1661,1615,1712,2401,1534,1372,1852
Doc2a,1147,314,882,689,2720,743,776,706,933,990,435,709
Doc2b,4879,3066,6779,6175,10952,8930,7566,8256,10637,8035,4749,7300
Doc2g,78,99,84,68,169,75,88,63,85,56,66,118
Dock1,2495,2445,3260,4781,6061,3276,3204,4033,5900,3462,3498,4528
Dock10,3720,5075,9700,11588,11134,3386,7707,9352,11515,12526,6504,8819
Dock11,866,1480,2211,1818,2624,1548,2153,1716,3139,1963,1453,2161
Dock2,340,295,412,461,768,455,494,527,735,458,404,554
Dock3,12445,11844,17498,16535,37292,16995,17559,19990,28545,21403,14049,20783
Dock4,22460,29322,39188,42365,50747,36268,42985,44152,64299,46827,42474,46092
Dock5,724,929,763,2666,1945,674,699,1857,1810,871,1112,1486
Dock6,949,1113,941,1736,2194,932,953,1403,1768,733,946,1599
Dock7,2454,3027,4147,4226,7868,3493,3682,3937,6474,3228,3175,4914
Dock8,366,381,622,555,904,513,480,502,850,558,488,575
Dock9,22785,27784,34784,36207,48487,33338,38433,39407,57764,40545,35608,39666
Dohh,1054,463,636,650,1101,627,784,625,1002,591,631,767
Dok1,103,70,66,123,163,76,97,169,209,117,114,137
Dok2,12,14,13,11,30,4,17,16,19,16,17,11
Dok3,147,165,125,145,264,155,152,130,170,96,146,167
Dok5,288,279,438,532,1259,358,459,555,731,647,492,458
Dok6,11940,13085,20096,20804,32377,23418,25317,27129,34506,26569,20461,24731
Dok7,617,476,789,684,1311,874,822,823,1160,760,540,743
Dolk,864,861,1144,1328,1887,1104,1257,1171,1833,1039,984,1378
Dolpp1,504,619,746,820,1425,718,757,878,1270,707,691,905
Donson,684,729,803,764,1611,963,826,784,1115,630,857,983
Dop1a,3191,4332,6384,6321,10449,5962,6200,6063,10214,6215,5468,7102
Dop1b,6895,7679,9471,11103,16066,8816,8867,10292,16678,10357,10235,11034
Dot1l,2086,2446,2780,3092,4703,2017,2683,2874,3541,2763,2547,3006
Doxl1,0,0,0,0,0,1,0,0,0,0,0,0
Doxl2,0,0,0,0,0,0,0,0,0,0,0,0
Dpagt1,404,577,769,791,1242,803,574,663,1177,594,633,884
Dpcd,1360,908,990,1380,2221,1357,1214,1147,1701,941,997,1470
Dpep1,14,14,6,32,22,2,8,13,17,3,8,26
Dpf1,2031,1804,2552,2453,4507,2732,2586,2428,3565,2458,2253,2690
Dpf2,1825,1656,2209,2545,3969,2072,2149,2170,3335,2005,2068,2509
Dpf3,450,589,735,1159,868,285,585,1111,1353,1313,830,706
Dph1,789,578,1221,773,1509,858,1249,820,1122,896,763,902
Dph2,527,311,426,459,769,399,452,468,648,390,439,439
Dph3,743,999,1131,1428,2432,1392,1289,1268,2308,1236,1233,1490
Dph5,322,269,366,477,694,320,414,451,591,433,408,476
Dph6,357,419,633,709,1036,562,696,754,1221,647,545,782
Dph7,688,787,1202,1170,2104,1227,1256,1041,1862,1066,915,1370
Dpm1,93,204,318,324,539,284,312,328,589,403,268,399
Dpm2,426,729,855,1002,1561,904,850,909,1297,753,715,1015
Dpm3,517,218,210,330,528,304,273,273,437,256,316,402
Dpp10,2513,3857,5489,4614,15087,4847,4994,3022,7541,2910,4213,6129
Dpp3,1806,1216,1582,2034,2887,1550,1890,1772,2724,1610,1479,2162
Dpp4,11,29,66,76,176,32,34,51,134,43,58,48
Dpp6,13196,17228,23855,25497,38361,24111,24164,27014,40068,28712,22809,26837
Dpp7,836,814,872,1289,1997,1000,904,1003,1493,758,889,1332
Dpp8,10189,14191,19205,20697,29484,17862,20130,21567,32335,22505,19194,21951
Dpp9,3485,3746,4723,5482,8627,4863,4491,5173,8111,4982,5054,5708
Dppa1,0,2,0,0,0,0,1,4,1,1,3,2
Dppa2,0,1,2,8,2,2,0,8,9,16,3,2
Dppa3,0,0,0,0,0,0,1,0,1,0,0,0
Dppa4,0,0,0,0,0,0,0,0,1,0,0,0
Dppa5a,0,0,0,5,0,0,1,4,0,1,0,0
Dpt,8,3,2,5,21,3,4,3,7,4,1,13
Dpy19l1,2082,2632,2520,5821,8378,5842,3531,4917,6539,3140,3904,5403
Dpy19l2,18,38,55,71,155,97,55,56,89,18,48,105
Dpy19l3,3767,5278,5889,8239,10720,6563,6348,7254,12040,6974,7114,7516
Dpy19l4,1722,2177,3185,3598,6022,3129,3594,3424,5339,3328,3227,4120
Dpy30,489,680,895,1109,1519,901,823,973,1411,735,722,1066
Dpyd,834,800,1380,1209,2633,1257,1289,1014,1669,963,903,1473
Dpys,2,0,3,5,16,5,0,1,6,1,3,2
Dpysl2,41216,41143,58902,64120,93038,60326,59892,58412,83501,55389,53717,66574
Dpysl3,4525,6324,7979,8495,12908,9533,7865,7254,13598,6317,8284,9866
Dpysl4,1654,1593,2492,1993,4168,2132,2708,2054,3464,1879,1865,2923
Dpysl5,1437,1020,1999,1444,4495,2337,1719,1261,2570,1269,1354,2087
Dqx1,28,45,28,74,147,47,43,51,55,26,19,54
Dr1,2591,3635,4591,5328,6687,4818,5244,4789,7512,5083,4779,5618
Dram1,38,47,60,46,113,67,54,72,99,29,50,67
Dram2,594,1078,1417,1729,2336,1392,1500,1632,2569,1551,1421,1769
Drap1,4467,3688,4521,5381,7896,4786,5385,5346,7685,4279,4728,5748
Draxin,30,12,31,32,106,8,43,34,52,38,32,36
Drc1,426,342,470,684,1441,560,409,432,702,351,383,682
Drc3,255,271,237,617,776,371,277,379,547,229,251,449
Drd1,426,197,351,790,1723,149,345,512,633,913,233,329
Drd2,122,45,89,126,449,95,86,148,197,131,59,106
Drd3,1,0,2,7,27,5,0,0,8,3,6,0
Drd4,3,1,2,2,2,0,1,1,0,3,1,1
Drd5,495,658,561,884,1043,1143,1101,1323,1840,1024,1109,1119
Dreh,0,0,0,0,0,0,0,0,0,0,0,0
Drg1,2387,2720,3559,3730,5270,3273,3916,3797,5628,3788,3164,4080
Drg2,1751,2066,2827,3028,4691,2625,2744,2815,4168,2624,2439,2983
Drosha,4473,5634,7343,8225,13339,8424,7488,7364,11705,7071,7208,8965
Drp2,4397,5197,6756,5637,10957,7382,7332,7422,12195,6908,6146,7500
Dsc1,1,3,1,3,12,2,8,5,3,6,3,6
Dsc2,8,14,20,35,83,28,27,29,64,11,14,40
Dsc3,21,12,9,22,111,18,19,37,42,11,18,24
Dscam,3610,4838,7848,7120,10891,5570,7175,6238,11380,7042,6116,7651
Dscaml1,4203,6354,7935,8810,13222,9548,8227,9156,15939,8072,8034,10009
Dscc1,3,1,10,1,11,1,2,2,10,10,8,0
Dse,412,630,712,921,1183,579,823,906,1393,848,807,904
Dsel,1436,1671,2311,2932,5403,2688,2481,2691,3925,2703,2503,2903
Dsg1a,2,0,4,0,19,3,8,0,1,0,0,1
Dsg1b,2,2,0,0,2,1,4,0,0,3,0,1
Dsg1c,1,2,1,7,11,0,2,7,7,18,2,2
Dsg2,192,271,324,890,617,241,247,565,755,406,268,538
Dsg3,0,1,0,1,0,0,0,1,1,0,1,0
Dsg4,0,0,0,0,0,0,0,0,0,0,1,0
Dsn1,79,143,169,142,256,174,170,196,280,211,151,209
