Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
0610009B22Rik_129,372.5717858276552,355.76566666796714,324.2740410775099,300.213617578207,288.64932761741966,328.62728021400056,313.9908298015255,387.5188421106436,284.98226583255246,186.16006364478997,301.7160353068798,349.1920536307439
0610009B22Rik_JF1,287.1907515754842,279.62393727039483,393.35851069837065,426.4180682798736,336.0058579296526,412.9808066860435,335.8547947393493,418.5631692410543,358.0818061390436,280.74138630303,354.2798045241063,280.1540831421441
0610009E02Rik_129,27.166692716599858,34.13249938511862,31.017516972631377,49.716904821868674,31.57102020815528,35.14730269668455,44.94259459441564,37.46729136428875,33.90123608416981,39.03356173197209,25.230609224268694,21.011556235660805
0610009E02Rik_JF1,17.464302460671338,28.224951414617323,39.47683978334903,37.2876786164015,46.22899387622737,41.29808066860435,39.47660335995968,44.9607496371465,32.841822456539504,24.020653373521288,24.179333839924166,25.01375742340572
0610009L18Rik_129,67.91673179149964,42.009230012453685,62.035033945262754,78.39973452679291,101.4782792404991,90.50430444396272,53.44524762579157,86.71001715735396,74.15895393412146,69.0593784488737,51.51249383288192,79.04347345796208
0610009L18Rik_JF1,46.5714732284569,56.449902829234645,76.13390529645883,39.199867263396456,41.71884813220519,37.783350398935895,72.87988312607942,61.018160221841676,57.20833589203655,111.09552185253595,56.76887075460456,75.04127227021716
0610010F05Rik_129,2078.2519928198894,2150.347461262473,2027.4177003019965,1881.5936286430297,2253.9453355750857,2036.7861912728697,1811.0650956830734,1676.3936650421765,2259.729267735444,1534.3192342336722,2236.0627425008133,2132.1726827711036
0610010F05Rik_JF1,2190.7997197886602,1900.2612638445848,2271.328174677689,2026.9199658146458,1745.4264029365847,2192.3130057056987,1902.1649495906727,2098.1683164001697,2131.540218792177,1842.0838555819137,1862.8599810585054,2446.3454760090794
0610010K14Rik_129,262.9347759356629,319.6639846260148,191.7446503762667,257.18937302082065,179.27829332488176,324.233867376915,324.92281227043736,325.4301878498223,358.0818061390436,361.8110914386644,222.87038148104014,335.1843494736367
0610010K14Rik_JF1,292.0419467034485,260.5885049210018,290.4367498346393,305.9501835191918,393.51021616593545,233.72956293295226,232.00096128468613,321.14821169390353,230.95217082340682,414.3562706932422,322.7415429937704,239.13152096775872
