Gene_Allele,Allele_Source,Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,WT_M2,167,WT Male,7.392317422778761
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,WT_M3,0,WT Male,0
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,WT_F1,139,WT Female,7.129283016944966
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,WT_F2,117,WT Female,6.882643049361842
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,WT_F3,162,WT Female,7.348728154231077
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,HT_F1,205,HT Female,7.6865005271832185
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,HT_F2,80,HT Female,6.339850002884624
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,HT_F3,127,HT Female,7
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,KO_M1,93,KO Male,6.554588851677638
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,KO_M2,116,KO Male,6.870364719583405
Ano1_JF1,Paternal,Ano1,Imprinted,Maternal,KO_M3,92,KO Male,6.539158811108031
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_M1,1222,WT Male,10.256208688527387
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_M2,1127,WT Male,10.139551352398794
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_M3,751,WT Male,9.554588851677638
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_F1,1995,WT Female,10.96289600533726
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_F2,66,WT Female,6.066089190457772
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,WT_F3,1351,WT Female,10.400879436282183
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,HT_F1,1472,HT Female,10.524541715035848
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,HT_F2,234,HT Female,7.876516946564999
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,HT_F3,55,HT Female,5.807354922057604
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,KO_M1,539,KO Male,9.076815597050832
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,KO_M2,34,KO Male,5.129283016944966
Aqp1_129,Maternal,Aqp1,Imprinted,Maternal,KO_M3,53,KO Male,5.754887502163468
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_M1,1030,WT Male,10.00982861736811
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_M2,1113,WT Male,10.121533517340032
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_M3,757,WT Male,9.566054038171092
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_F1,1675,WT Female,10.710806433699352
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_F2,0,WT Female,0
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,WT_F3,1181,WT Female,10.207014320177532
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,HT_F1,1141,HT Female,10.157346935362844
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,HT_F2,297,HT Female,8.219168520462162
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,HT_F3,55,HT Female,5.807354922057604
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,KO_M1,369,KO Male,8.531381460516313
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,KO_M2,0,KO Male,0
Aqp1_JF1,Paternal,Aqp1,Imprinted,Maternal,KO_M3,0,KO Male,0
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_M1,7,WT Male,3
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_M2,24,WT Male,4.643856189774724
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_M3,3,WT Male,2
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_F1,43,WT Female,5.459431618637297
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_F2,30,WT Female,4.954196310386875
Asb4_129,Maternal,Asb4,Imprinted,Maternal,WT_F3,42,WT Female,5.426264754702098
Asb4_129,Maternal,Asb4,Imprinted,Maternal,HT_F1,72,HT Female,6.189824558880018
Asb4_129,Maternal,Asb4,Imprinted,Maternal,HT_F2,11,HT Female,3.584962500721156
Asb4_129,Maternal,Asb4,Imprinted,Maternal,HT_F3,14,HT Female,3.9068905956085187
Asb4_129,Maternal,Asb4,Imprinted,Maternal,KO_M1,7,KO Male,3
Asb4_129,Maternal,Asb4,Imprinted,Maternal,KO_M2,22,KO Male,4.523561956057013
Asb4_129,Maternal,Asb4,Imprinted,Maternal,KO_M3,8,KO Male,3.169925001442312
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_M1,0,WT Male,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_M2,0,WT Male,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_M3,0,WT Male,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_F1,0,WT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_F2,0,WT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,WT_F3,0,WT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,HT_F1,0,HT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,HT_F2,0,HT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,HT_F3,0,HT Female,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,KO_M1,0,KO Male,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,KO_M2,0,KO Male,0
Asb4_JF1,Paternal,Asb4,Imprinted,Maternal,KO_M3,0,KO Male,0
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_M1,3,WT Male,2
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_M2,10,WT Male,3.4594316186372973
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_M3,1,WT Male,1
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_F1,5,WT Female,2.584962500721156
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_F2,5,WT Female,2.584962500721156
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,WT_F3,9,WT Female,3.321928094887362
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,HT_F1,13,HT Female,3.807354922057604
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,HT_F2,3,HT Female,2
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,HT_F3,7,HT Female,3
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,KO_M1,5,KO Male,2.584962500721156
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,KO_M2,1,KO Male,1
Ascl2_129,Maternal,Ascl2,Imprinted,Maternal,KO_M3,9,KO Male,3.321928094887362
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_M1,0,WT Male,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_M2,0,WT Male,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_M3,0,WT Male,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_F1,0,WT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_F2,0,WT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,WT_F3,0,WT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,HT_F1,0,HT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,HT_F2,0,HT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,HT_F3,0,HT Female,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,KO_M1,0,KO Male,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,KO_M2,0,KO Male,0
Ascl2_JF1,Paternal,Ascl2,Imprinted,Maternal,KO_M3,0,KO Male,0
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_M1,1774,WT Male,10.793603309279407
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_M2,2430,WT Male,11.247334178028728
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_M3,1202,WT Male,10.232420927176076
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_F1,1618,WT Female,10.660887270302567
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_F2,1590,WT Female,10.635718120331047
Axl_129,Maternal,Axl,Imprinted,Maternal,WT_F3,1687,WT Female,10.721099188707186
Axl_129,Maternal,Axl,Imprinted,Maternal,HT_F1,2579,HT Female,11.333155350310616
Axl_129,Maternal,Axl,Imprinted,Maternal,HT_F2,1692,HT Female,10.725366257895642
Axl_129,Maternal,Axl,Imprinted,Maternal,HT_F3,1702,HT Female,10.733862719678543
Axl_129,Maternal,Axl,Imprinted,Maternal,KO_M1,1483,KO Male,10.535275376620802
Axl_129,Maternal,Axl,Imprinted,Maternal,KO_M2,1682,KO Male,10.71681946132995
