baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
662.869180247349,3.619166175620178,0.26561308415659707,13.625707434978738,2.8166753031340732e-42,7.669806850434081e-38,Rps4l_JF1
150.48601709075737,3.1534562681054723,0.33410623901380926,9.43848363147488,3.782129605052009e-21,5.14936945727831e-17,Tex14_JF1
192.16644936330204,2.1092518032801584,0.23170711824287543,9.103094541399631,8.779394412252467e-20,7.968763661521156e-16,Acta1_129
3749.863733654221,-21.25145317213827,2.388989536878078,-8.895582355672257,5.811374212190088e-19,3.9560929949484024e-15,Tmsb4x_JF1
6340.1775655208985,1.3916370485873861,0.15861856135478608,8.773481720557767,1.7322507686856506e-18,9.433837686262053e-15,Pnck_129
1507.3074326550902,5.805021836821555,0.6706309490255795,8.65606015537487,4.883509746812731e-18,2.2162995067618444e-14,Metap2_129
34.29373097803467,-22.243935507603645,2.7293249187342834,-8.149977071223606,3.6399328062053345e-16,1.2389421289121408e-12,Lrrc18_JF1
94.17165820014117,3.0446998634263815,0.37291636007043244,8.164565005545295,3.22595573547112e-16,1.2389421289121408e-12,Tex14_129
40.44213520170604,-21.12541431944532,2.6345479369859484,-8.018610716043309,1.0694785974478003e-15,3.2357669120559558e-12,Nat8f2_JF1
812.7463663263566,2.147889946626581,0.2707463416374171,7.933218722870244,2.135378656412072e-15,5.814636081410072e-12,Dnah1_129
891.3125692521604,2.372503411426039,0.322278354231793,7.361659200107674,1.816382179259706e-13,4.496371521931072e-10,Tnxb_129
89.21191447106787,2.819193162981547,0.39731634811425603,7.095588128608374,1.2880254391562506e-12,2.9227443923520584e-9,Crybb1_129
712.9914696325504,2.321173104796316,0.3308607110055916,7.015559803826595,2.290300752971553e-12,4.797299192570415e-9,Rps4l_129
181.33618181539376,1.5998220538638903,0.23302241663632617,6.865528548528888,6.62455146362475e-12,1.2884752596750138e-8,Kirrel2_129
47.08690056829952,8.39089112218185,1.2301804386334463,6.820862093615246,9.049578346821018e-12,1.6428001225595754e-8,Mtbp_JF1
106.28856573874226,3.391910412135484,0.5038091399451308,6.732530522381736,1.6673739491636056e-11,2.8376620397328112e-8,Amn_JF1
585.4914802102028,-0.8458103796874114,0.12599781932702056,-6.712896970797217,1.9079783877633645e-11,3.0561324411056714e-8,Kdr_JF1
